BAIRRO DA OCORRENCIA;GENERO;ETNIA;PROFISSAO;ESCOLARIDADE;INSTRUMENTO UTILIZADO;MES;SEMANA;DIA DA SEMANA;FAIXA;TURNO;ZONA
FELIPE CAMARÃO;MASC;PAR;MENOR DEPENDENTE;NI_ESC;ARMA_F;jun;SEM3;ter;CRI;NI_TUR;Oeste
NOSSA SRA DA APRESENTAÇÃO;FEM;PAR;ESTUDANTE C;EMC;ARMA_F;fev;SEM5;dom;ADO;VES;Norte
LAGOA AZUL;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;nov;SEM5;seg;ADO;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;PEDREIRO;EFC;ARMA_F;set;SEM3;dom;ADO;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;NEG;ESTUDANTE C;EMC;ARMA_F;dez;SEM4;sex;ADO;VES;Norte
PONTA NEGRA;MASC;BRA;ESTUDANTE C;EMC;ARMA_B;mar;SEM4;qua;ADO;VES;Sul
BOM PASTOR;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;dez;SEM2;dom;ADO;MAD;Oeste
CIDADE ALTA;MASC;PAR;VENDEDOR DE LOJA;EMC;ARMA_F;mar;SEM5;ter;ADO;NOT;Leste
CIDADE DA ESPERANÇA;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;out;SEM5;ter;ADO;NOT;Oeste
FELIPE CAMARÃO;FEM;PAR;ESTUDANTE C;EMC;ARMA_F;jul;SEM1;qua;ADO;NI_TUR;Oeste
FELIPE CAMARÃO;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;abr;SEM3;qua;ADO;NI_TUR;Oeste
NOSSA SRA DA APRESENTAÇÃO;FEM;PAR;ESTUDANTE C;EMC;ESPANC;jul;SEM1;sáb;ADO;NOT;Norte
PAJUÇARA;MASC;NEG;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;jun;SEM3;qui;ADO;NOT;Norte
ALECRIM;MASC;PAR;ESTUDANTE B;EFC;ARMA_F;mar;SEM6;seg;ADO;VES;Leste
CIDADE ALTA;FEM;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;out;SEM4;ter;ADO;NOT;Leste
CIDADE ALTA;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;out;SEM4;ter;ADO;VES;Leste
CIDADE DA ESPERANÇA;MASC;BRA;ESTUDANTE B;EFC;ARMA_F;abr;SEM4;qua;ADO;NI_TUR;Oeste
FELIPE CAMARÃO;MASC;BRA;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;jan;SEM4;dom;ADO;NOT;Oeste
IGAPÓ;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;jun;SEM3;sáb;ADO;VES;Norte
IGAPÓ;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;out;SEM5;ter;ADO;NI_TUR;Norte
LAGOA SECA;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;nov;SEM4;dom;ADO;VES;Leste
NI_BAIRRO;MASC;PAR;SERVENTE DE OBRAS;EFC;ARMA_F;jul;SEM4;seg;ADO;VES;NI_ZONA
NI_BAIRRO;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;dez;SEM5;qua;ADO;NOT;NI_ZONA
NI_BAIRRO;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;nov;SEM2;dom;ADO;NOT;NI_ZONA
NORDESTE;MASC;PAR;ESTUDANTE B;EFC;ARMA_F;set;SEM4;ter;ADO;NOT;Oeste
NOSSA SENHORA DE NAZARÉ;MASC;NEG;ESTUDANTE C;EMC;ARMA_F;jan;SEM2;sex;ADO;NOT;Oeste
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;jul;SEM4;sáb;ADO;VES;Norte
POTENGI;MASC;NEG;ESTUDANTE B;EFC;ARMA_F;dez;SEM5;qua;ADO;NOT;Norte
ROCAS;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;jul;SEM4;sex;ADO;VES;Leste
BOM PASTOR;MASC;NEG;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;nov;SEM5;qua;ADO;VES;Oeste
BOM PASTOR;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;nov;SEM3;dom;ADO;NOT;Oeste
CIDADE ALTA;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;mar;SEM3;sex;ADO;VES;Leste
CIDADE DA ESPERANÇA;MASC;BRA;ESTUDANTE B;EFC;ARMA_F;mar;SEM5;ter;ADO;NOT;Oeste
CIDADE DA ESPERANÇA;MASC;NEG;ESTUDANTE B;EFC;ARMA_F;mar;SEM5;ter;ADO;NOT;Oeste
LAGOA AZUL;MASC;BRA;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;fev;SEM3;ter;ADO;MAD;Norte
LAGOA NOVA;MASC;BRA;ENTREGADOR;EFC;ARMA_F;mar;SEM2;sáb;ADO;NOT;Sul
MÃE LUÍZA;MASC;NEG;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;jun;SEM1;sex;ADO;NOT;Leste
MÃE LUÍZA;MASC;NEG;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;set;SEM5;ter;ADO;VES;Leste
NI_BAIRRO;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;out;SEM4;sáb;ADO;NOT;NI_ZONA
NOSSA SRA DA APRESENTAÇÃO;FEM;PAR;ESTUDANTE B;EFC;ARMA_F;jan;SEM3;qui;ADO;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;FEM;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;set;SEM2;sáb;ADO;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;NEG;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;jun;SEM1;dom;ADO;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;out;SEM5;seg;ADO;VES;Norte
PAJUÇARA;MASC;PAR;ESTUDANTE B;EFC;ARMA_F;jan;SEM3;ter;ADO;VES;Norte
PAJUÇARA;MASC;NEG;ESTUDANTE B;EFC;ARMA_F;jan;SEM2;sáb;ADO;MAD;Norte
PAJUÇARA;MASC;PAR;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;out;SEM5;qui;ADO;MAT;Norte
PETRÓPOLIS;MASC;BRA;ESTUDANTE B;EFC;ARMA_F;mai;SEM3;ter;ADO;NOT;Leste
PLANALTO;MASC;PAR;ESTUDANTE B;EFC;ARMA_F;jul;SEM2;qua;ADO;MAD;Oeste
POTENGI;MASC;BRA;SOLDADOR;EFC;ARMA_F;abr;SEM5;dom;ADO;NI_TUR;Norte
REDINHA;MASC;NEG;MENOR SEM OCUPACAO;NI_ESC;ARMA_F;ago;SEM3;seg;ADO;NOT;Norte
ALECRIM;MASC;NEG;DESOCUPADO(A);NI_ESC;ARMA_F;jul;SEM4;sáb;ADU;NI_TUR;Leste
CIDADE DA ESPERANÇA;MASC;NEG;GARCOM;EMC;ARMA_F;ago;SEM2;sáb;ADU;VES;Oeste
DIX-SEPT ROSADO;MASC;PAR;DESOCUPADO(A);NI_ESC;ARMA_F;nov;SEM3;sex;ADU;NOT;Oeste
FELIPE CAMARÃO;MASC;NEG;ESTUDANTE C;EMC;ARMA_F;dez;SEM2;qui;ADU;NOT;Oeste
FELIPE CAMARÃO;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;mai;SEM2;sex;ADU;NOT;Oeste
GUARAPES;MASC;NEG;DESOCUPADO(A);NI_ESC;ARMA_B;abr;SEM1;ter;ADU;NOT;Oeste
IGAPÓ;MASC;BRA;SOLDADOR;EFC;ARMA_F;ago;SEM5;seg;ADU;NOT;Norte
IGAPÓ;MASC;NEG;SERVENTE DE OBRAS;EFC;ARMA_F;fev;SEM5;seg;ADU;NI_TUR;Norte
IGAPÓ;FEM;BRA;DESOCUPADO(A);NI_ESC;ARMA_F;dez;SEM4;seg;ADU;NI_TUR;Norte
LAGOA AZUL;MASC;NEG;SERVENTE DE OBRAS;EFC;ARMA_F;ago;SEM5;qua;ADU;MAT;Norte
LAGOA AZUL;MASC;NEG;MECANICO(A);EMC;ARMA_F;jan;SEM3;qui;ADU;NOT;Norte
LAGOA AZUL;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;abr;SEM3;sáb;ADU;VES;Norte
LAGOA AZUL;MASC;BRA;DESOCUPADO(A);NI_ESC;ARMA_F;nov;SEM3;seg;ADU;MAT;Norte
MÃE LUÍZA;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;fev;SEM4;sáb;ADU;NOT;Leste
MÃE LUÍZA;MASC;NEG;DESOCUPADO(A);NI_ESC;ARMA_F;jan;SEM2;sáb;ADU;VES;Leste
NI_BAIRRO;MASC;PAR;SERIGRAFISTA;EMC;ARMA_F;jul;SEM4;qui;ADU;VES;NI_ZONA
NOSSA SENHORA DE NAZARÉ;MASC;BRA;DESOCUPADO(A);NI_ESC;ARMA_B;abr;SEM3;sáb;ADU;NI_TUR;Oeste
NOSSA SRA DA APRESENTAÇÃO;MASC;BRA;AUXILIAR DE CARPINTEIRO;EFC;ARMA_F;fev;SEM4;sex;ADU;NI_TUR;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;SERVENTE DE OBRAS;EFC;ARMA_F;jan;SEM4;sáb;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;mar;SEM4;qui;ADU;VES;Norte
NOVA DESCOBERTA;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;nov;SEM3;qui;ADU;NI_TUR;Sul
PAJUÇARA;MASC;PAR;SERVENTE DE OBRAS;EFC;ARMA_F;mar;SEM3;qui;ADU;NOT;Norte
PAJUÇARA;MASC;PAR;SERVENTE DE OBRAS;EFC;ARMA_F;mar;SEM3;qui;ADU;NOT;Norte
PAJUÇARA;MASC;NEG;ESTUDANTE C;EMC;ARMA_F;jul;SEM5;dom;ADU;VES;Norte
PAJUÇARA;MASC;NEG;DESOCUPADO(A);NI_ESC;ARMA_F;ago;SEM4;seg;ADU;NOT;Norte
PAJUÇARA;FEM;PAR;NI_PROF;NI_ESC;ARMA_F;jun;SEM4;qua;ADU;NOT;Norte
PLANALTO;MASC;NEG;ESTUDANTE C;EMC;ARMA_F;ago;SEM5;ter;ADU;NOT;Oeste
PLANALTO;MASC;BRA;VENDEDOR DE LOJA;EMC;ARMA_F;mai;SEM3;sáb;ADU;NOT;Oeste
PLANALTO;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM4;dom;ADU;VES;Oeste
PONTA NEGRA;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;jul;SEM1;qua;ADU;VES;Sul
PONTA NEGRA;MASC;PAR;DESOCUPADO(A);NI_ESC;ARMA_F;out;SEM1;sex;ADU;VES;Sul
POTENGI;MASC;NEG;ESTUDANTE C;EMC;ARMA_B;jul;SEM4;qui;ADU;VES;Norte
POTENGI;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;nov;SEM3;qui;ADU;VES;Norte
POTENGI;FEM;PAR;ESTUDANTE C;EMC;ARMA_F;set;SEM5;dom;ADU;VES;Norte
POTENGI;MASC;NEG;NI_PROF;NI_ESC;ARMA_F;mar;SEM2;qua;ADU;VES;Norte
POTENGI;MASC;NEG;DETENTO;NI_ESC;AMP;jan;SEM3;sáb;ADU;NOT;Norte
POTENGI;MASC;PAR;DESOCUPADO(A);NI_ESC;CARBO;jan;SEM3;seg;ADU;VES;Norte
POTENGI;MASC;NEG;DESOCUPADO(A);NI_ESC;ESPANC;jul;SEM4;sáb;ADU;VES;Norte
QUINTAS;MASC;NEG;GARCOM;EMC;ARMA_F;fev;SEM3;sex;ADU;VES;Oeste
QUINTAS;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;jul;SEM1;ter;ADU;NOT;Oeste
ROCAS;MASC;NEG;ESTUDANTE C;EMC;ARMA_F;ago;SEM2;seg;ADU;MAT;Leste
AREIA PRETA;MASC;BRA;ESTUDANTE C;EMC;ARMA_F;fev;SEM3;qui;ADU;NOT;Leste
BARRO VERMELHO;MASC;PAR;VIGILANTE;EMC;ARMA_F;set;SEM3;qua;ADU;VES;Leste
CIDADE DA ESPERANÇA;MASC;NEG;ASG;EFC;ARMA_F;mai;SEM4;ter;ADU;NI_TUR;Oeste
CIDADE NOVA;MASC;NEG;SERVENTE DE OBRAS;EFC;ARMA_F;abr;SEM4;dom;ADU;VES;Oeste
FELIPE CAMARÃO;MASC;NEG;ENTREGADOR;EFC;ARMA_F;mar;SEM4;seg;ADU;VES;Oeste
FELIPE CAMARÃO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;out;SEM5;seg;ADU;VES;Oeste
FELIPE CAMARÃO;MASC;BRA;DESEMPREGADO;NI_ESC;ARMA_F;jan;SEM1;qui;ADU;VES;Oeste
IGAPÓ;MASC;NEG;SERVENTE DE OBRAS;EFC;ARMA_F;fev;SEM4;sáb;ADU;NI_TUR;Norte
IGAPÓ;MASC;PAR;NI_PROF;NI_ESC;ARMA_B;nov;SEM2;sex;ADU;NOT;Norte
LAGOA AZUL;MASC;PAR;AUXILIAR DE PORTARIA;EMC;ARMA_F;abr;SEM4;ter;ADU;NI_TUR;Norte
LAGOA AZUL;MASC;NEG;NI_PROF;NI_ESC;ARMA_F;jun;SEM1;sáb;ADU;MAD;Norte
LAGOA NOVA;FEM;PAR;ESTUDANTE C;EMC;ARMA_F;mai;SEM5;qui;ADU;NOT;Sul
LAGOA NOVA;MASC;NEG;REPOSITOR DE ESTOQUE;EMC;ARMA_F;set;SEM2;qua;ADU;VES;Sul
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;SERVENTE DE OBRAS;EFC;ARMA_F;mai;SEM2;sáb;ADU;NI_TUR;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;BRA;SERVENTE DE OBRAS;EFC;ARMA_F;mar;SEM2;dom;ADU;NI_TUR;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;GESSEIRO;EFC;ARMA_F;abr;SEM1;ter;ADU;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;AUXILIAR ELETRICISTA;EFC;ARMA_F;jan;SEM4;sáb;ADU;NOT;Norte
PAJUÇARA;MASC;NEG;ESTUDANTE C;EMC;ARMA_F;ago;SEM4;ter;ADU;NOT;Norte
PAJUÇARA;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;mai;SEM3;seg;ADU;NI_TUR;Norte
PAJUÇARA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;out;SEM5;qui;ADU;NOT;Norte
PAJUÇARA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;jun;SEM4;qua;ADU;MAT;Norte
POTENGI;MASC;BRA;ESTUDANTE C;EMC;ARMA_F;fev;SEM2;sáb;ADU;VES;Norte
POTENGI;MASC;NEG;ESTUDANTE C;EMC;ARMA_F;ago;SEM2;qui;ADU;MAT;Norte
PRAIA DO MEIO;MASC;NEG;SERVENTE DE OBRAS;EFC;ARMA_F;jul;SEM2;qua;ADU;MAT;Leste
REDINHA;MASC;BRA;AMBULANTE;EFC;ARMA_F;fev;SEM3;dom;ADU;VES;Norte
ALECRIM;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;mai;SEM1;sáb;ADU;NOT;Leste
CIDADE ALTA;MASC;PAR;ASG;EFC;ARMA_F;mar;SEM3;sex;ADU;NOT;Leste
DIX-SEPT ROSADO;MASC;PAR;AUXILIAR DE MECANICO;EFC;ARMA_F;fev;SEM3;dom;ADU;NOT;Oeste
DIX-SEPT ROSADO;FEM;PAR;DESOCUPADO(A);NI_ESC;ARMA_F;abr;SEM4;seg;ADU;VES;Oeste
DIX-SEPT ROSADO;MASC;BRA;DESEMPREGADO;NI_ESC;ARMA_F;fev;SEM3;dom;ADU;VES;Oeste
FELIPE CAMARÃO;MASC;NEG;ASG;EFC;ARMA_F;jan;SEM1;qua;ADU;NOT;Oeste
FELIPE CAMARÃO;MASC;NEG;ESTUDANTE C;EMC;ARMA_F;jul;SEM3;qui;ADU;NOT;Oeste
FELIPE CAMARÃO;MASC;NEG;VIGILANTE;EMC;ARMA_F;dez;SEM5;dom;ADU;VES;Oeste
FELIPE CAMARÃO;MASC;NEG;NI_PROF;NI_ESC;ARMA_F;jun;SEM4;ter;ADU;VES;Oeste
FELIPE CAMARÃO;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;nov;SEM2;qua;ADU;VES;Oeste
IGAPÓ;MASC;NEG;VIGILANTE;EMC;ARMA_F;abr;SEM2;sex;ADU;VES;Norte
LAGOA AZUL;MASC;NEG;SERVENTE DE OBRAS;EFC;ARMA_F;ago;SEM5;sex;ADU;NOT;Norte
LAGOA AZUL;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;fev;SEM4;sex;ADU;NI_TUR;Norte
LAGOA NOVA;MASC;BRA;ESTUDANTE C;EMC;ARMA_F;mar;SEM5;sáb;ADU;NOT;Sul
MÃE LUÍZA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;nov;SEM5;dom;ADU;MAD;Leste
NOSSA SRA DA APRESENTAÇÃO;MASC;NEG;ACOUGUEIRO(A);EFC;ARMA_F;set;SEM4;qua;ADU;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;NEG;MOTORISTA;EMC;ARMA_F;set;SEM4;qui;ADU;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;NEG;ESTUDANTE C;EMC;ARMA_F;ago;SEM1;sex;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;NEG;ESTUDANTE C;EMC;ARMA_F;out;SEM2;ter;ADU;NI_TUR;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;NEG;DESOCUPADO(A);NI_ESC;ARMA_F;mai;SEM5;dom;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;ago;SEM2;seg;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;PAR;DESOCUPADO(A);NI_ESC;ARMA_F;fev;SEM5;qua;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;BRA;NI_PROF;NI_ESC;ARMA_F;out;SEM5;qua;ADU;VES;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;NEG;FEIRANTE;NI_ESC;ARMA_F;abr;SEM2;sáb;ADU;VES;Norte
PAJUÇARA;MASC;NEG;NI_PROF;NI_ESC;ARMA_B;jun;SEM1;qui;ADU;VES;Norte
PAJUÇARA;MASC;NEG;DESOCUPADO(A);NI_ESC;ARMA_F;abr;SEM1;ter;ADU;NOT;Norte
PAJUÇARA;MASC;NEG;DESOCUPADO(A);NI_ESC;ARMA_F;jul;SEM5;seg;ADU;VES;Norte
PAJUÇARA;FEM;PAR;NI_PROF;NI_ESC;ARMA_F;jun;SEM4;sex;ADU;MAD;Norte
PLANALTO;MASC;NEG;SERVENTE DE OBRAS;EFC;ARMA_F;mai;SEM3;sáb;ADU;NOT;Oeste
PLANALTO;MASC;PAR;VIGILANTE;EMC;ARMA_F;set;SEM3;qua;ADU;NI_TUR;Oeste
PLANALTO;MASC;PAR;DESEMPREGADO;NI_ESC;ARMA_F;jan;SEM5;qua;ADU;NOT;Oeste
POTENGI;MASC;NEG;ENTREGADOR;EFC;ARMA_F;jan;SEM2;sex;ADU;NOT;Norte
POTENGI;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;abr;SEM3;seg;ADU;VES;Norte
POTENGI;MASC;BRA;DESOCUPADO(A);NI_ESC;ARMA_F;abr;SEM5;qua;ADU;NOT;Norte
ROCAS;MASC;NEG;NI_PROF;NI_ESC;ARMA_F;jun;SEM4;sáb;ADU;NOT;Leste
ROCAS;MASC;BRA;NI_PROF;NI_ESC;ARMA_F;mai;SEM5;qua;ADU;VES;Leste
SANTOS REIS;MASC;PAR;VENDEDOR DE LOJA;EMC;ARMA_F;mai;SEM3;dom;ADU;NOT;Leste
ALECRIM;MASC;NEG;DESOCUPADO(A);NI_ESC;ARMA_F;jul;SEM3;dom;ADU;MAT;Leste
BOM PASTOR;MASC;PAR;AUXILIAR DE MECANICO;EFC;ARMA_F;mar;SEM4;sáb;ADU;NI_TUR;Oeste
CIDADE DA ESPERANÇA;MASC;PAR;NI_PROF;NI_ESC;ARMA_F;dez;SEM3;qui;ADU;NI_TUR;Oeste
DIX-SEPT ROSADO;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;jul;SEM5;qui;ADU;VES;Oeste
DIX-SEPT ROSADO;MASC;NEG;NI_PROF;NI_ESC;ARMA_F;nov;SEM3;sáb;ADU;MAT;Oeste
FELIPE CAMARÃO;MASC;NEG;SERVENTE DE OBRAS;EFC;ARMA_F;jan;SEM3;seg;ADU;MAD;Oeste
FELIPE CAMARÃO;MASC;NEG;DESEMPREGADO;NI_ESC;ARMA_F;abr;SEM3;dom;ADU;MAD;Oeste
FELIPE CAMARÃO;FEM;NEG;NI_PROF;NI_ESC;ARMA_F;jun;SEM2;qua;ADU;NOT;Oeste
GUARAPES;MASC;NEG;AUXILIAR DE MARCENEIRO;EFC;ARMA_F;ago;SEM2;sex;ADU;NI_TUR;Oeste
GUARAPES;MASC;PAR;ESTUDANTE C;EMC;ARMA_F;ago;SEM3;qua;ADU;VES;Oeste
GUARAPES;MASC;NEG;DESOCUPADO(A);NI_ESC;ARMA_F;ago;SEM4;qua;ADU;NOT;Oeste
LAGOA AZUL;MASC;PAR;SERVENTE DE OBRAS;EFC;ARMA_F;mar;SEM5;sáb;ADU;VES;Norte
LAGOA SECA;MASC;PAR;NI_PROF;NI_ESC;ARMA_B;dez;SEM4;qua;ADU;MAD;Leste
MÃE LUÍZA;MASC;NEG;SERVENTE DE OBRAS;EFC;ARMA_F;fev;SEM2;dom;ADU;VES;Leste
NOSSA SRA DA APRESENTAÇÃO;MASC;NEG;NI_PROF;NI_ESC;ARMA_F;jun;SEM2;sáb;ADU;NOT;Norte
NOSSA SRA DA APRESENTAÇÃO;MASC;BRA;NI_PROF;NI_ESC;ARMA_F;dez;SEM1;sex;ADU;NOT;Norte
PAJUÇARA;MASC;PAR;LAVADOR DE ONIBUS;EFC;ARMA_F;fev;SEM4;seg;ADU;VES;Norte
PAJUÇARA;FEM;BRA;NI_PROF;NI_ESC;ARMA_F;set;SEM4;sex;ADU;NI_TUR;Norte
